ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1311,2,85,-837.49,-818.85,0.05,540.692101,1,453449,1051
1312,2,84,-872.94,-819.08,0.05,516.226772,1,453533,1052
1313,2,85,-837.18,-818.53,0.05,420.090413,1,453618,1053
1314,2,86,-842.71,-818.49,0.05,530.394967,1,453704,1054
1315,2,86,-837.25,-823.57,0.05,401.141156,1,453790,1055
1316,2,86,-848.84,-823.82,0.05,361.503601,1,453876,1056
1317,2,85,-853.7,-823.91,0.05,729.573091,1,453961,1057
1318,2,89,-848.1,-823.79,0.05,580.398941,1,454050,1058
1319,2,84,-825.61,-829.3,0.05,709.254212,1,454134,1059
1320,2,90,-859.57,-829.43,0.05,885.38326,1,454224,1060
1321,2,85,-813.54,-833.98,0.05,629.724421,1,454309,1061
1322,2,84,-845.29,-834.1,0.05,624.404578,1,454393,1062
1323,2,84,-844.42,-834.06,0.05,591.433959,1,454477,1063
1324,2,84,-840.92,-833.82,0.05,891.870957,1,454561,1064
1325,2,84,-834.02,-833.58,0.05,650.827283,1,454645,1065
1326,2,85,-857.17,-833.84,0.05,1040.757792,1,454730,1066
1327,2,87,-831.05,-833.27,0.05,722.159505,1,454817,1067
1328,2,86,-853.43,-832.83,0.05,615.773795,1,454903,1068
1329,2,86,-856.33,-833.09,0.05,391.243066,1,454989,1069
1330,2,85,-853.65,-832.57,0.05,618.13529,1,455074,1070
1331,2,86,-847.52,-832.44,0.05,935.744843,1,455160,1071
1332,2,84,-833.56,-831.89,0.05,593.708434,1,455244,1072
1333,2,85,-837.2,-831.93,0.05,426.500256,1,455329,1073
1334,2,84,-837.74,-831.89,0.05,367.541713,1,455413,1074
1335,2,83,-865.05,-831.69,0.05,789.106776,1,455496,1075
1336,2,83,-842.47,-831.75,0.05,447.625375,1,455579,1076
1337,2,89,-858.87,-831.96,0.05,555.755965,1,455668,1077
1338,2,88,-836.53,-831.75,0.05,564.92664,1,455756,1078
1339,2,87,-831.96,-831.05,0.05,480.157543,1,455843,1079
1340,2,85,-827.45,-830.83,0.05,765.478115,1,455928,1080
1341,2,88,-848.6,-830.7,0.05,616.156246,1,456016,1081
