ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
927,2,416,559.71,661.14,0.05,799.514665,1,257361,806
928,2,421,508.0,666.45,0.05,1096.142767,1,257782,807
929,2,419,569.91,673.19,0.05,795.269854,1,258201,808
930,2,500,1464.58,671.34,0.05,889.075094,0,258701,808
931,2,500,1165.94,668.89,0.05,868.879378,0,259201,808
932,2,90,-634.3,655.17,0.05,427.471814,1,259291,809
933,2,420,546.74,646.08,0.05,827.988,1,259711,810
934,2,500,1697.55,646.69,0.05,704.825332,0,260211,810
935,2,418,540.37,636.97,0.05,1183.612514,1,260629,811
936,2,90,-662.6,613.93,0.05,612.760076,1,260719,812
937,2,417,502.54,619.1,0.05,1031.728692,1,261136,813
938,2,418,597.57,625.13,0.05,882.140924,1,261554,814
939,2,421,532.38,629.54,0.05,665.479864,1,261975,815
940,2,89,-698.76,606.22,0.05,279.542942,1,262064,816
941,2,424,470.76,611.78,0.05,775.757077,1,262488,817
942,2,420,523.54,615.88,0.05,843.43173,1,262908,818
943,2,87,-704.54,608.13,0.05,906.426814,1,262995,819
944,2,419,522.54,613.39,0.05,828.80729,1,263414,820
945,2,500,1617.44,612.55,0.05,878.515008,0,263914,820
946,2,90,-631.22,589.69,0.05,945.217702,1,264004,821
947,2,85,-705.11,582.23,0.05,738.590215,1,264089,822
948,2,419,525.9,588.37,0.05,863.368379,1,264508,823
949,2,88,-660.14,581.38,0.05,856.694365,1,264596,824
950,2,89,-716.27,556.89,0.05,527.341132,1,264685,825
951,2,422,556.76,548.85,0.05,1391.313383,1,265107,826
952,2,421,494.9,553.03,0.05,1100.731131,1,265528,827
953,2,417,543.91,558.2,0.05,1441.362307,1,265945,828
954,2,417,510.69,562.94,0.05,1082.85743,1,266362,829
955,2,421,516.49,567.45,0.05,623.44884,1,266783,830
956,2,424,496.62,571.59,0.05,824.362972,1,267207,831
957,2,420,488.31,576.21,0.05,838.928842,1,267627,832
958,2,421,543.9,564.93,0.05,978.276842,1,268048,833
959,2,419,535.28,553.81,0.05,1057.321363,1,268467,834
960,2,420,563.0,550.31,0.05,718.150287,1,268887,835
961,2,423,555.49,542.43,0.05,837.916577,1,269310,836
962,2,418,619.76,547.93,0.05,1051.607803,1,269728,837
963,2,416,532.47,554.3,0.05,862.850237,1,270144,838
964,2,418,561.45,561.43,0.05,694.450491,1,270562,839
965,2,421,567.14,566.28,0.05,1184.518897,1,270983,840
966,2,418,572.6,573.01,0.05,857.425082,1,271401,841
967,2,420,585.05,580.92,0.05,1161.679717,1,271821,842
968,2,423,560.95,570.4,0.05,736.208255,1,272244,843
969,2,422,551.43,577.25,0.05,1118.634881,1,272666,844
